text,label
...? this weather! It's about time the sun starts shining at PSU,positive
@LTLline How you go to my job when im not there  NO BUENO!,negative
Feel myself getting sick....ughh not cool. Jake leaves thurs,negative
"going crazy, installing cslatex",negative
"Shit, no more maths HL this semester!  WTF, we planned cakes, music, and all that..  Why was it cancelled? Why, oh why?!",negative
"@KyeLani ah if only that were true, but the weather's not as nice as yesterday, and the shops will all be closed",negative
but before I go - A cheeky update of avatar... picture by @LozzieCunliffe whilst playing with the noo camera,positive
says good evening! nakakapagod gusto ko na umuwi  haaaaaaaaaaay (: http://plurk.com/p/13u1dz,negative
"@nicoletsang Truthfully, I feel like shit. My ears hurt because of my throat and it actually hurts to talk/listen to anyone",negative
@courtneykkk i knew i shouldnt have shared cigarettes with you.,negative
is home... where dreams come true...,positive
LG Life is Good.,positive
Lying my bed listening to elvis costello  Alison is definitely one of my favorite songs of his. Goodnight everyone! ily!,positive
Wanted 2 go sooooo bad!!.  Wife had 3rd c-section baby 5/26/09 couldn't leave her   .......I'll have 2 buy the DVD!!!!!,negative
lost the soccer game,negative
"@jasmine_dani Eh, tru tru... i think id rather have Travis  &lt;3",positive
@libz That's the thing...I'm not sure.  I went to the doctor but she did nothing.  Seeing a specialist in 2 weeks.  Thanks for asking.,positive
"@limburger2001 Yes, sir!   See here http://is.gd/wz2K",positive
Woodbridge Mall and Bob's Furniture... Need a couch,negative
@GeorgeCastady Its true.  Poor girl is still shocked at where she is.,negative
@tommcfly mtv awards is going on mtv brazil tonight too  Might have this channel on Hilton's tv! im almost sure it has ;D xx,positive
@marinaaaaaaaa i loveee you! Ive been a sadbear too,negative
Trying to make Firefox crash or behave abnormally. Not having a lot of luck,negative
this week is not going as i had hoped,negative
"@Alekszandreeah I would love help but I'm stressing bc I'm not sure what to do.  hv to figure out food, drinks, presenting my stuff, etc",negative
@abhaga hey congrats man .. have a happy married startup life  congrats to @jayajha too!,positive
"@koist Good morning, not feeling too bad considering, sorry if I offended last night, got carried away with the red wine xx",positive
has been leaning her face on her knee and now has an extremely stiff and sore right hand side of the jaw and cheek.,negative
totally FAILED . I can't make them interest with me  . ah it's ok . gotta study hard for tomorrow . booo!,negative
im sad.. but i dunno why,negative
"I'm feeling not too good, I have a cold.. hope it will not turn into a flu",negative
me and my camera and its batteries and battery charger are all in a fight...  i cant figure out whats wrong with them.,negative
I had a good day today... Idk why I can't seem to relax right now. I'm too animated  something like busta rhymes. I really do want to yell,negative
Bed!  Hehe    i love my baby,positive
@HumpNinja I cry my asian eyes to sleep at night,negative
"Morning tweeps, I just wanna sleep all day today",positive
"@londonveggarden He'll survive, good green tea in ASDA only 40p per bottle perfect with Veggies",positive
@johnny_trouble the accent was full of fail too,negative
Happy mothers day to all of you amazing moms!! Hope you have a wonderful day with your loved ones. You deserve it!!  You do a great job!,positive
@chempaka otw? hati2..,positive
oh blair. sex tape? really?,negative
Pakis's ruined the match ..,negative
"@avvin skittles candy has a phrase they use to sell it, it is &quot;taste the rainbow&quot; anyway can not use babel fish anymore  no translator",negative
@midgit5521 i was wondering where you went. almost everyone's gone now!,negative
"lovelovelove talkin' 'bout your generation. Hilarious stuff, @joshthomas87 is amazing",positive
Going to see my cuz run at central with my buddy clark!,positive
"my bestie went home, but she will come again tomarrow",positive
Having dinner with the family,positive
@ShiniquezSoPyro then you're teaching me??,positive
Amy went home  I'm watching Famous in a Small Town video &amp; getting ready to go to The Burn at church.,negative
